,x
248,0.00026319
249,0.000187584
250,0.000122441
251,7.50E-05
252,4.41E-05
253,2.53E-05
254,1.44E-05
255,8.10E-06
256,4.55E-06
257,2.56E-06
258,1.44E-06
259,8.08E-07
260,4.56E-07
261,2.58E-07
262,1.47E-07
263,8.52E-08
264,5.08E-08
265,3.28E-08
266,2.52E-08
267,2.54E-08
268,3.38E-08
269,5.31E-08
270,8.96E-08
271,1.55E-07
272,2.72E-07
273,4.78E-07
274,8.41E-07
275,1.48E-06
276,2.60E-06
277,0.000119761
278,0.000102439
279,8.79E-05
280,7.56E-05
281,6.52E-05
282,5.62E-05
283,4.86E-05
284,4.21E-05
285,3.64E-05
286,3.16E-05
287,2.75E-05
288,2.39E-05
289,2.08E-05
290,1.82E-05
291,1.59E-05
292,1.41E-05
293,1.27E-05
294,1.18E-05
295,1.17E-05
296,1.27E-05
297,1.58E-05
298,2.20E-05
299,3.34E-05
300,5.22E-05
301,8.04E-05
302,0.000117981
303,0.000162476
304,0.000209519
305,0.00025524
306,0.00029771
307,0.000336791
308,0.000373216
309,0.000407768
310,0.000440748
311,0.000471556
312,0.000498132
313,0.000516154
314,0.000518291
315,0.000494905
316,0.000438758
317,0.000353525
318,0.000256984
319,0.000170479
320,0.000105634
321,6.26E-05
322,3.61E-05
323,2.06E-05
324,1.16E-05
325,6.54E-06
326,3.68E-06
327,2.07E-06
328,1.17E-06
329,6.59E-07
330,3.74E-07
331,2.14E-07
332,1.24E-07
333,7.50E-08
334,4.95E-08
335,3.95E-08
336,4.20E-08
337,5.77E-08
338,9.20E-08
339,1.56E-07
340,2.72E-07
341,4.76E-07
342,8.37E-07
343,1.47E-06
344,2.59E-06
345,4.56E-06
346,0.000162564
347,0.000138827
348,0.000119007
349,0.000102279
350,8.81E-05
351,7.60E-05
352,6.56E-05
353,5.67E-05
354,4.91E-05
355,4.26E-05
356,3.70E-05
357,3.21E-05
358,2.80E-05
359,2.44E-05
360,2.14E-05
361,1.89E-05
362,1.69E-05
363,1.56E-05
364,1.51E-05
365,1.60E-05
366,1.92E-05
367,2.61E-05
368,3.90E-05
369,6.07E-05
370,9.39E-05
371,0.000139338
372,0.000194562
373,0.000254334
374,0.000313408
375,0.000368735
376,0.000419694
377,0.000467033
378,0.000511752
379,0.000554363
380,0.000594338
381,0.000629449
382,0.000654814
383,0.000661886
384,0.000638815
385,0.000575251
386,0.000472613
387,0.000350514
388,0.000236548
389,0.000148432
390,8.87E-05
391,5.15E-05
392,2.94E-05
393,1.66E-05
394,9.39E-06
395,5.29E-06
396,2.98E-06
397,1.68E-06
398,9.53E-07
399,5.43E-07
400,3.12E-07
401,1.82E-07
402,1.11E-07
403,7.52E-08
404,6.27E-08
405,6.97E-08
406,9.88E-08
407,1.60E-07
408,2.73E-07
409,4.75E-07
410,8.33E-07
411,1.46E-06
412,2.58E-06
413,4.53E-06
414,7.98E-06
415,0.000220835
416,0.000188238
417,0.000161164
418,0.000138381
419,0.000119068
420,0.000102623
421,8.86E-05
422,7.66E-05
423,6.63E-05
424,5.74E-05
425,4.98E-05
426,4.33E-05
427,3.76E-05
428,3.28E-05
429,2.87E-05
430,2.53E-05
431,2.25E-05
432,2.05E-05
433,1.96E-05
434,2.03E-05
435,2.36E-05
436,3.12E-05
437,4.56E-05
438,7.05E-05
439,0.000109427
440,0.000164045
441,0.000232148
442,0.000307681
443,0.000383723
444,0.000455678
445,0.000522122
446,0.000583691
447,0.000641616
448,0.000696675
449,0.000748458
450,0.000794583
451,0.00082956
452,0.000843491
453,0.000822016
454,0.000751059
455,0.000628766
456,0.000475855
457,0.000326974
458,0.000208007
459,0.000125502
460,7.33E-05
461,4.20E-05
462,2.39E-05
463,1.35E-05
464,7.61E-06
465,4.30E-06
466,2.43E-06
467,1.38E-06
468,7.88E-07
469,4.54E-07
470,2.67E-07
471,1.65E-07
472,1.15E-07
473,1.00E-07
474,1.17E-07
475,1.70E-07
476,2.78E-07
477,4.76E-07
478,8.31E-07
479,1.46E-06
480,2.56E-06
481,4.51E-06
482,7.93E-06
483,1.40E-05
484,0.000300261
485,0.000255386
486,0.000218349
487,0.000187292
488,0.000161022
489,0.000138684
490,0.000119629
491,0.000103334
492,8.94E-05
493,7.74E-05
494,6.71E-05
495,5.83E-05
496,5.06E-05
497,4.41E-05
498,3.85E-05
499,3.38E-05
500,3.00E-05
501,2.72E-05
502,2.56E-05
503,2.59E-05
504,2.92E-05
505,3.74E-05
506,5.36E-05
507,8.20E-05
508,0.00012736
509,0.000192562
510,0.000276003
511,0.000370897
512,0.000468366
513,0.000561735
514,0.000648327
515,0.000728452
516,0.000803545
517,0.000874705
518,0.000941704
519,0.001002019
520,0.001049507
521,0.001072768
522,0.001054619
523,0.000976598
524,0.000832425
525,0.000642839
526,0.000450083
527,0.000290598
528,0.000177177
529,0.000104199
530,6.00E-05
531,3.42E-05
532,1.94E-05
533,1.10E-05
534,6.20E-06
535,3.51E-06
536,2.00E-06
537,1.15E-06
538,6.63E-07
539,3.93E-07
540,2.47E-07
541,1.77E-07
542,1.61E-07
543,1.96E-07
544,2.93E-07
545,4.84E-07
546,8.32E-07
547,1.45E-06
548,2.55E-06
549,4.49E-06
550,7.89E-06
551,1.39E-05
552,2.44E-05
553,0.000408676
554,0.000346715
555,0.000295962
556,0.000253585
557,0.000217828
558,0.000187472
559,0.000161604
560,0.000139504
561,0.000120586
562,0.000104364
563,9.04E-05
564,7.85E-05
565,6.82E-05
566,5.93E-05
567,5.18E-05
568,4.54E-05
569,4.01E-05
570,3.61E-05
571,3.36E-05
572,3.33E-05
573,3.64E-05
574,4.52E-05
575,6.31E-05
576,9.55E-05
577,0.000148055
578,0.000225416
579,0.000326977
580,0.000445463
581,0.000569805
582,0.000690621
583,0.000803362
584,0.00090767
585,0.001005094
586,0.001097101
587,0.001183711
588,0.001262289
589,0.001325984
590,0.001361735
591,0.001349189
592,0.001264813
593,0.001096628
594,0.00086394
595,0.000616724
596,0.000404576
597,0.000249538
598,0.000147917
599,8.57E-05
600,4.90E-05
601,2.78E-05
602,1.58E-05
603,8.95E-06
604,5.09E-06
605,2.90E-06
606,1.67E-06
607,9.70E-07
608,5.80E-07
609,3.71E-07
610,2.75E-07
611,2.62E-07
612,3.31E-07
613,5.05E-07
614,8.43E-07
615,1.45E-06
616,2.54E-06
617,4.46E-06
618,7.85E-06
619,1.38E-05
620,2.43E-05
621,4.28E-05
622,0.000556912
623,0.000471056
624,0.000401366
625,0.000343476
626,0.000294771
627,0.000253497
628,0.000218368
629,0.000188385
630,0.000162737
631,0.000140759
632,0.000121898
633,0.000105694
634,9.18E-05
635,7.98E-05
636,6.95E-05
637,6.08E-05
638,5.36E-05
639,4.79E-05
640,4.41E-05
641,4.29E-05
642,4.57E-05
643,5.49E-05
644,7.48E-05
645,0.000111301
646,0.000171984
647,0.00026322
648,0.000386021
649,0.000533016
650,0.000690806
651,0.000846606
652,0.000993181
653,0.001128968
654,0.001255447
655,0.001374469
656,0.001486369
657,0.001588433
658,0.001673047
659,0.001725303
660,0.001721311
661,0.001631745
662,0.001437571
663,0.001154856
664,0.000840887
665,0.000561054
666,0.000350487
667,0.000209613
668,0.000122123
669,7.01E-05
670,4.00E-05
671,2.27E-05
672,1.29E-05
673,7.37E-06
674,4.22E-06
675,2.43E-06
676,1.42E-06
677,8.59E-07
678,5.60E-07
679,4.30E-07
680,4.30E-07
681,5.63E-07
682,8.74E-07
683,1.47E-06
684,2.54E-06
685,4.45E-06
686,7.81E-06
687,1.37E-05
688,2.42E-05
689,4.25E-05
690,7.49E-05
691,0.000759999
692,0.000640533
693,0.000544613
694,0.000465422
695,0.000399026
696,0.000342877
697,0.000295153
698,0.000254459
699,0.000219677
700,0.000189893
701,0.00016435
702,0.000142414
703,0.000123562
704,0.000107362
705,9.35E-05
706,8.16E-05
707,7.18E-05
708,6.39E-05
709,5.82E-05
710,5.57E-05
711,5.78E-05
712,6.73E-05
713,8.90E-05
714,0.000130089
715,0.000199727
716,0.000306692
717,0.000454196
718,0.000635351
719,0.000834446
720,0.001034562
721,0.001224737
722,0.001401432
723,0.001565712
724,0.001719762
725,0.001864294
726,0.001996547
727,0.002108079
728,0.002181925
729,0.002190253
730,0.002097201
731,0.001875265
732,0.001535164
733,0.001140425
734,0.000774647
735,0.000490709
736,0.000296423
737,0.00017391
738,0.000100364
739,5.74E-05
740,3.28E-05
741,1.87E-05
742,1.07E-05
743,6.13E-06
744,3.55E-06
745,2.09E-06
746,1.28E-06
747,8.50E-07
748,6.77E-07
749,7.09E-07
750,9.59E-07
751,1.52E-06
752,2.56E-06
753,4.44E-06
754,7.78E-06
755,1.37E-05
756,2.40E-05
757,4.23E-05
758,7.45E-05
759,0.000131043
760,0.001038896
761,0.000871841
762,0.000739445
763,0.00063094
764,0.000540342
765,0.000463911
766,0.000399048
767,0.000343797
768,0.000296615
769,0.000256241
770,0.000221637
771,0.000191937
772,0.000166421
773,0.000144495
774,0.000125684
775,0.000109632
776,9.61E-05
777,8.52E-05
778,7.71E-05
779,7.26E-05
780,7.36E-05
781,8.31E-05
782,0.000106625
783,0.00015251
784,0.000232003
785,0.000356683
786,0.000532701
787,0.000754438
788,0.001004116
789,0.001259978
790,0.001506078
791,0.001735805
792,0.001949232
793,0.002148722
794,0.002335383
795,0.002506432
796,0.002652516
797,0.002754373
798,0.002779775
799,0.002685552
800,0.002434307
801,0.002029079
802,0.001537855
803,0.001064337
804,0.000684509
805,0.000418147
806,0.000247289
807,0.000143536
808,8.25E-05
809,4.72E-05
810,2.70E-05
811,1.55E-05
812,8.94E-06
813,5.20E-06
814,3.08E-06
815,1.90E-06
816,1.30E-06
817,1.08E-06
818,1.18E-06
819,1.64E-06
820,2.63E-06
821,4.47E-06
822,7.77E-06
823,1.36E-05
824,2.39E-05
825,4.21E-05
826,7.41E-05
827,0.000130312
828,0.000229314
829,0.001422985
830,0.001188037
831,0.001004673
832,0.000855722
833,0.000731967
834,0.000627859
835,0.00053966
836,0.000464622
837,0.000400597
838,0.000345854
839,0.000298963
840,0.00025874
841,0.000224198
842,0.00019452
843,0.000169046
844,0.00014727
845,0.000128867
846,0.000113749
847,0.000102195
848,9.51E-05
849,9.43E-05
850,0.00010338
851,0.000128517
852,0.000179455
853,0.000269713
854,0.000414214
855,0.000622898
856,0.000892434
857,0.001203517
858,0.001528977
859,0.001846417
860,0.002144676
861,0.002421928
862,0.002680365
863,0.002921443
864,0.003142345
865,0.003332697
866,0.003470649
867,0.003519067
868,0.00342667
869,0.003144776
870,0.002666309
871,0.002061251
872,0.001454477
873,0.00095083
874,0.000588121
875,0.000350983
876,0.000205082
877,0.000118483
878,6.81E-05
879,3.91E-05
880,2.25E-05
881,1.30E-05
882,7.62E-06
883,4.55E-06
884,2.85E-06
885,1.99E-06
886,1.72E-06
887,1.97E-06
888,2.82E-06
889,4.57E-06
890,7.80E-06
891,1.36E-05
892,2.38E-05
893,4.19E-05
894,7.36E-05
895,0.000129584
896,0.00022802
897,0.000401209
898,0.001953706
899,0.001621069
900,0.001366108
901,0.001161176
902,0.000991916
903,0.000850004
904,0.000730017
905,0.000628067
906,0.000541163
907,0.000466915
908,0.00040336
909,0.000348873
910,0.000302103
911,0.000261927
912,0.000227432
913,0.000197906
914,0.000172857
915,0.000152083
916,0.000135805
917,0.000124931
918,0.000121518
919,0.000129533
920,0.000155966
921,0.000212086
922,0.000313992
923,0.000480518
924,0.00072635
925,0.001051708
926,0.001436667
927,0.001848311
928,0.002256181
929,0.002642648
930,0.003002631
931,0.003337514
932,0.0036489
933,0.003933868
934,0.004180854
935,0.004365059
936,0.00444386
937,0.004357028
938,0.004043271
939,0.003483008
940,0.002745203
941,0.001975879
942,0.001314435
943,0.000824318
944,0.000497039
945,0.000292651
946,0.000170072
947,9.82E-05
948,5.67E-05
949,3.28E-05
950,1.91E-05
951,1.12E-05
952,6.75E-06
953,4.29E-06
954,3.08E-06
955,2.78E-06
956,3.30E-06
957,4.85E-06
958,7.95E-06
959,1.36E-05
960,2.38E-05
961,4.17E-05
962,7.33E-05
963,0.000128864
964,0.000226725
965,0.000398905
966,0.000701753
967,0.00268992
968,0.002215402
969,0.00185923
970,0.00157653
971,0.001344696
972,0.001151091
973,0.000987777
974,0.000849213
975,0.000731221
976,0.000630492
977,0.000544329
978,0.000470505
979,0.000407165
980,0.000352772
981,0.000306063
982,0.000266041
983,0.000231986
984,0.000203526
985,0.000180787
986,0.000164683
987,0.000157438
988,0.000163458
989,0.000190631
990,0.000251907
991,0.000366285
992,0.000557107
993,0.000844872
994,0.001234867
995,0.001707893
996,0.00222533
997,0.002747018
998,0.003246472
999,0.003713413
1000,0.004147346
1001,0.00454958
1002,0.00491688
1003,0.005236236
1004,0.005479442
1005,0.0055977
1006,0.005520956
1007,0.005174093
1008,0.004522844
1009,0.003631829
1010,0.002666959
1011,0.001807245
1012,0.001150681
1013,0.000701947
1014,0.000416944
1015,0.000243954
1016,0.000141705
1017,8.21E-05
1018,4.77E-05
1019,2.79E-05
1020,1.65E-05
1021,1.00E-05
1022,6.48E-06
1023,4.81E-06
1024,4.52E-06
1025,5.57E-06
1026,8.37E-06
1027,1.38E-05
1028,2.38E-05
1029,4.16E-05
1030,7.29E-05
1031,0.000128164
1032,0.000225436
1033,0.000396587
1034,0.000697619
1035,0.001226853
1036,0.003715863
1037,0.003033199
1038,0.002532939
1039,0.002141746
1040,0.001823663
1041,0.001559289
1042,0.00133688
1043,0.001148487
1044,0.000988242
1045,0.000851556
1046,0.000734718
1047,0.000634671
1048,0.000548876
1049,0.000475224
1050,0.000411977
1051,0.000357742
1052,0.000311483
1053,0.000272587
1054,0.000241028
1055,0.000217688
1056,0.000204945
1057,0.000207664
1058,0.000234712
1059,0.000300888
1060,0.000428431
1061,0.000645844
1062,0.000980594
1063,0.001444805
1064,0.002021835
1065,0.002667946
1066,0.003331764
1067,0.003975114
1068,0.004579859
1069,0.005141932
1070,0.005661514
1071,0.006134621
1072,0.006546377
1073,0.006864567
1074,0.007033404
1075,0.006972073
1076,0.00659058
1077,0.005838171
1078,0.004771829
1079,0.003574892
1080,0.002469757
1081,0.001598676
1082,0.00098806
1083,0.000592818
1084,0.000349585
1085,0.000204363
1086,0.000119135
1087,6.96E-05
1088,4.09E-05
1089,2.44E-05
1090,1.50E-05
1091,9.85E-06
1092,7.54E-06
1093,7.39E-06
1094,9.45E-06
1095,1.45E-05
1096,2.41E-05
1097,4.16E-05
1098,7.27E-05
1099,0.000127518
1100,0.000224167
1101,0.000394257
1102,0.000693425
1103,0.001219346
1104,0.002143194
1105,0.005153072
1106,0.004161825
1107,0.003454816
1108,0.00291152
1109,0.002474235
1110,0.002112843
1111,0.00180978
1112,0.001553549
1113,0.001335866
1114,0.00115035
1115,0.000991886
1116,0.000856278
1117,0.000740047
1118,0.000640303
1119,0.000554657
1120,0.000481177
1121,0.000418385
1122,0.000365329
1123,0.000321749
1124,0.000288442
1125,0.000267912
1126,0.000265497
1127,0.000291117
1128,0.000361604
1129,0.000502799
1130,0.000749048
1131,0.001136044
1132,0.001684757
1133,0.002383457
1134,0.00318457
1135,0.004024351
1136,0.004849743
1137,0.005631261
1138,0.006358733
1139,0.007029768
1140,0.007638821
1141,0.008168472
1142,0.008581676
1143,0.008814668
1144,0.00877488
1145,0.008356583
1146,0.007491317
1147,0.006225567
1148,0.004756722
1149,0.003352485
1150,0.002209027
1151,0.001385315
1152,0.000840735
1153,0.000500271
1154,0.000294609
1155,0.000172838
1156,0.000101528
1157,6.00E-05
1158,3.60E-05
1159,2.24E-05
1160,1.50E-05
1161,1.19E-05
1162,1.22E-05
1163,1.61E-05
1164,2.50E-05
1165,4.20E-05
1166,7.26E-05
1167,0.00012701
1168,0.000222966
1169,0.000391931
1170,0.000689157
1171,0.001211638
1172,0.002129327
1173,0.003739136
1174,0.007178364
1175,0.005724766
1176,0.004718547
1177,0.003960821
1178,0.003358278
1179,0.002863677
1180,0.002450458
1181,0.002101844
1182,0.001806072
1183,0.001554242
1184,0.001339289
1185,0.001155451
1186,0.000997966
1187,0.000862872
1188,0.00074689
1189,0.000647348
1190,0.000562162
1191,0.000489898
1192,0.000429959
1193,0.000382971
1194,0.000351519
1195,0.000341414
1196,0.000363703
1197,0.000437435
1198,0.000592437
1199,0.000869625
1200,0.001314255
1201,0.001958376
1202,0.002798069
1203,0.00378404
1204,0.004839654
1205,0.005893609
1206,0.00690068
1207,0.00784097
1208,0.008707196
1209,0.009490829
1210,0.010170812
1211,0.010704136
1212,0.011017825
1213,0.011006488
1214,0.010548078
1215,0.009555967
1216,0.008064182
1217,0.006280379
1218,0.004517302
1219,0.003033542
1220,0.001933239
1221,0.001188585
1222,0.000714612
1223,0.000424402
1224,0.000250791
1225,0.000148305
1226,8.83E-05
1227,5.34E-05
1228,3.36E-05
1229,2.31E-05
1230,1.89E-05
1231,2.02E-05
1232,2.75E-05
1233,4.33E-05
1234,7.32E-05
1235,0.000126851
1236,0.000221957
1237,0.000389672
1238,0.000684824
1239,0.001203675
1240,0.002114863
1241,0.003712922
1242,0.006509661
1243,0.010051032
1244,0.0078976
1245,0.006454444
1246,0.005392543
1247,0.004560085
1248,0.003882262
1249,0.003318485
1250,0.002844035
1251,0.002442097
1252,0.002100211
1253,0.001808605
1254,0.001559362
1255,0.001345957
1256,0.001162968
1257,0.0010059
1258,0.000871067
1259,0.000755549
1260,0.000657247
1261,0.000575067
1262,0.000509354
1263,0.000462696
1264,0.000441361
1265,0.000457585
1266,0.000532827
1267,0.000701295
1268,0.001011243
1269,0.001518901
1270,0.002269835
1271,0.003271359
1272,0.004475544
1273,0.005793273
1274,0.007131776
1275,0.008424819
1276,0.009637822
1277,0.010755055
1278,0.011762668
1279,0.012634223
1280,0.013319133
1281,0.013733665
1282,0.013758452
1283,0.013254871
1284,0.012118636
1285,0.01037073
1286,0.00822559
1287,0.00603859
1288,0.004136885
1289,0.002683191
1290,0.001673911
1291,0.001018375
1292,0.000610692
1293,0.000363864
1294,0.000216791
1295,0.00013004
1296,7.94E-05
1297,5.06E-05
1298,3.56E-05
1299,3.03E-05
1300,3.36E-05
1301,4.70E-05
1302,7.52E-05
1303,0.000127558
1304,0.000221452
1305,0.000387652
1306,0.00068049
1307,0.001195412
1308,0.002099618
1309,0.003685017
1310,0.006458624
1311,0.0112934
1312,0.014153919
1313,0.010931434
1314,0.008844371
1315,0.007348087
1316,0.006194496
1317,0.005264187
1318,0.004494482
1319,0.003848605
1320,0.00330235
1321,0.002838194
1322,0.002442594
1323,0.002104667
1324,0.001815473
1325,0.001567599
1326,0.001354887
1327,0.001172268
1328,0.001015676
1329,0.000882085
1330,0.000769698
1331,0.00067841
1332,0.000610706
1333,0.000573261
1334,0.000579549
1335,0.000653627
1336,0.000834499
1337,0.001178553
1338,0.001754474
1339,0.002623954
1340,0.003809459
1341,0.005268542
1342,0.006901269
1343,0.00859071
1344,0.010243653
1345,0.011804326
1346,0.01324335
1347,0.014537878
1348,0.015653358
1349,0.016529309
1350,0.017069251
1351,0.0171386
1352,0.01658234
1353,0.015280201
1354,0.013241354
1355,0.010684689
1356,0.008004121
1357,0.005598141
1358,0.003700678
1359,0.002346521
1360,0.001446885
1361,0.000877327
1362,0.00052767
1363,0.000317055
1364,0.000191792
1365,0.000118312
1366,7.66E-05
1367,5.52E-05
1368,4.88E-05
1369,5.62E-05
1370,8.06E-05
1371,0.000130398
1372,0.000222227
1373,0.000386326
1374,0.00067638
1375,0.00118688
1376,0.002083392
1377,0.003654881
1378,0.006402938
1379,0.01119056
1380,0.019480268
1381,0.020054868
1382,0.015187246
1383,0.012142948
1384,0.010021973
1385,0.00841792
1386,0.007138962
1387,0.00608741
1388,0.005208008
1389,0.004465636
1390,0.00383554
1391,0.003298912
1392,0.002840776
1393,0.002448895
1394,0.002113136
1395,0.001825079
1396,0.001577764
1397,0.001365561
1398,0.001184163
1399,0.00103078
1400,0.00090463
1401,0.000807929
1402,0.000747675
1403,0.000738601
1404,0.00080754
1405,0.000998718
1406,0.001377484
1407,0.002026514
1408,0.003026369
1409,0.004419027
1410,0.006172699
1411,0.008179836
1412,0.010297703
1413,0.012399762
1414,0.014400892
1415,0.016250769
1416,0.017911986
1417,0.019337688
1418,0.020454157
1419,0.021149568
1420,0.021272777
1421,0.020653122
1422,0.019157425
1423,0.016786511
1424,0.013763379
1425,0.010515644
1426,0.007511999
1427,0.005067568
1428,0.003271369
1429,0.002047938
1430,0.001257556
1431,0.000764493
1432,0.000463746
1433,0.000283169
1434,0.000176622
1435,0.000116173
1436,8.61E-05
1437,7.91E-05
1438,9.45E-05
1439,0.000138449
1440,0.000226187
1441,0.000386846
1442,0.000673136
1443,0.001178324
1444,0.002066049
1445,0.003621872
1446,0.006341131
1447,0.011075254
1448,0.019265638
1449,0.033289312
1450,0.028596574
1451,0.021185789
1452,0.016707555
1453,0.013681928
1454,0.011443167
1455,0.009681765
1456,0.008244247
1457,0.00704681
1458,0.006038094
1459,0.005182949
1460,0.004455194
1461,0.003834218
1462,0.003303272
1463,0.002848522
1464,0.002458473
1465,0.002123595
1466,0.001836118
1467,0.001589979
1468,0.001380999
1469,0.001207402
1470,0.001070896
1471,0.000978665
1472,0.000946682
1473,0.001004716
1474,0.001202642
1475,0.00161562
1476,0.002341892
1477,0.003483739
1478,0.005107371
1479,0.007197842
1480,0.009644953
1481,0.01228013
1482,0.01493732
1483,0.017492312
1484,0.019864021
1485,0.021992378
1486,0.02381196
1487,0.025230971
1488,0.026118801
1489,0.026306293
1490,0.025608618
1491,0.023884421
1492,0.021132211
1493,0.017581517
1494,0.013689255
1495,0.009989456
1496,0.006883925
1497,0.004531519
1498,0.002885206
1499,0.00179719
1500,0.001105883
1501,0.000678063
1502,0.000418368
1503,0.000264142
1504,0.000176868
1505,0.000134892
1506,0.000128744
1507,0.000159174
1508,0.000237964
1509,0.000392055
1510,0.000672426
1511,0.001170579
1512,0.002047717
1513,0.00358533
1514,0.006271383
1515,0.010943645
1516,0.01901842
1517,0.032828134
1518,0.056042626
1519,0.041022077
1520,0.029678656
1521,0.023040337
1522,0.018696277
1523,0.015559239
1524,0.013128904
1525,0.01116268
1526,0.009532388
1527,0.008162314
1528,0.007002289
1529,0.006015779
1530,0.005174406
1531,0.004455273
1532,0.003839521
1533,0.003311482
1534,0.002858141
1535,0.002468819
1536,0.002135049
1537,0.001850725
1538,0.001612639
1539,0.001421662
1540,0.00128494
1541,0.001219617
1542,0.001258525
1543,0.001457605
1544,0.001902691
1545,0.002709192
1546,0.004004019
1547,0.005882601
1548,0.008353936
1549,0.011312022
1550,0.014564575
1551,0.017900724
1552,0.02114617
1553,0.024176402
1554,0.026897322
1555,0.0292158
1556,0.031015022
1557,0.032140964
1558,0.03240486
1559,0.031610126
1560,0.029613896
1561,0.02642125
1562,0.022273994
1563,0.017655677
1564,0.013158023
1565,0.009269248
1566,0.006230877
1567,0.004041945
1568,0.002558445
1569,0.001596021
1570,0.000990435
1571,0.000618213
1572,0.000395564
1573,0.000270045
1574,0.000212289
1575,0.000210537
1576,0.000268755
1577,0.000408889
1578,0.000678448
1579,0.001165988
1580,0.002029329
1581,0.003544852
1582,0.006191605
1583,0.010790971
1584,0.018729098
1585,0.03228454
1586,0.055037159
1587,0.092178012
1588,0.059134515
1589,0.041745429
1590,0.031845758
1591,0.025570679
1592,0.021157317
1593,0.017797877
1594,0.015107499
1595,0.01288875
1596,0.011029177
1597,0.009456791
1598,0.008120497
